"filename", "language", "JSON", "Vue", "TypeScript", "SCSS", "JavaScript", "JSON with Comments", "Markdown", "HTML", "YAML", "XML", "comment", "blank", "total"
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/cell-group/index.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/cell-group/index.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/cell/index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/cell/index.js", "JavaScript", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 1, 39
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/cell/index.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/cell/index.wxs", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 3, 18
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/checkbox-group/index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/checkbox-group/index.js", "JavaScript", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 37
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/checkbox-group/index.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/checkbox/index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/checkbox/index.js", "JavaScript", 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 1, 78
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/checkbox/index.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/checkbox/index.wxs", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 5, 21
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/circle/canvas.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/circle/canvas.js", "JavaScript", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 1, 1, 44
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/circle/index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/circle/index.js", "JavaScript", 0, 0, 0, 0, 191, 0, 0, 0, 0, 0, 2, 1, 194
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/circle/index.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/col/index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/col/index.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/col/index.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/col/index.wxs", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 4, 19
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/collapse-item/animate.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/collapse-item/animate.js", "JavaScript", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 1, 40
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/collapse-item/index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/collapse-item/index.js", "JavaScript", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 1, 61
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/collapse-item/index.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/collapse/index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/collapse/index.js", "JavaScript", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 1, 47
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/collapse/index.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/common/color.d.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/common/color.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/common/component.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/common/component.js", "JavaScript", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 5, 1, 47
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/common/relation.d.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 1, 16
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/common/relation.js", "JavaScript", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 1, 57
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/common/utils.d.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 1, 18
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/common/utils.js", "JavaScript", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 1, 77
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/common/validator.d.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/common/validator.js", "JavaScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 1, 1, 32
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/common/version.d.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 1, 10
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/common/version.js", "JavaScript", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 1, 60
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/config-provider/index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/config-provider/index.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/config-provider/index.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/config-provider/index.wxs", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 6, 30
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/count-down/index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/count-down/index.js", "JavaScript", 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 3, 1, 101
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/count-down/index.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/count-down/utils.d.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/count-down/utils.js", "JavaScript", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 1, 58
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/datetime-picker/index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/datetime-picker/index.js", "JavaScript", 0, 0, 0, 0, 292, 0, 0, 0, 0, 0, 3, 1, 296
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/datetime-picker/index.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/definitions/index.d.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 1, 29
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/definitions/index.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/dialog/dialog.d.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 8, 1, 56
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/dialog/dialog.js", "JavaScript", 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 1, 78
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/dialog/index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/wengxiaoqing/Documents/GitHub/gas-supervise/src/wxcomponents/vant/dialog/index.js", "JavaScript", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
